재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,Column1,당기,_1,_2,전기,전전기,_3
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_Revenue,영업수익,,2.11667E+13,,,1.95723E+13,1.88517E+13,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_RevenueFromSaleOfGoods,   재화의 판매로 인한 수익(매출액),,1.18657E+13,,,1.09474E+13,1.07442E+13,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_RevenueFromRenderingOfServices,   용역의 제공으로 인한 수익(매출액),,7.65696E+12,,,7.26997E+12,6.76212E+12,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_RevenueFromConstructionContracts,   건설계약으로 인한 수익(매출액),,3.03716E+11,,,1.65591E+11,1.1771E+11,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,entity00148540_udf_IS_201152323227203_Revenue,   임대료수익(매출액),,73900155000,,,36865207000,30749190000,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_OtherRevenue,   기타수익(매출액),,1.26645E+12,,,1.15246E+12,1.19692E+12,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_CostOfSales,매출원가,,1.44736E+13,,,1.34824E+13,1.33467E+13,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_GrossProfit,매출총이익,,6.69316E+12,,,6.08993E+12,5.50503E+12,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,,5.46782E+12,,,5.08681E+12,4.71897E+12,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),,1.22533E+12,,,1.00312E+12,7.86067E+11,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_FinanceIncome,금융수익,,2.90448E+11,,,2.62414E+11,5.71635E+11,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_FinanceCosts,금융원가,,6.057E+11,,,5.86542E+11,6.00111E+11,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,공동지배회사 및 관계회사에 대한 지분법손익,,1.63323E+11,,,24137741000,-27126499000,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,dart_OtherGains,기타이익,,1.13093E+11,,,4.78682E+11,1.11506E+11,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,dart_OtherLosses,기타손실,,4.51603E+11,,,3.84491E+11,4.11699E+11,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),,7.3489E+11,,,7.97319E+11,4.30271E+11,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용(수익),,1.83775E+11,,,2.88686E+11,1.07662E+11,
