재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,Column1,당기,_1,_2,전기,전전기,_3
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,ifrs_Revenue,영업수익,,1.24415E+11,,,1.03624E+11,98497567000,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,ifrs_RevenueFromRoyalties,   로열티수익(매출액),,83481359000,,,75724518000,73350130000,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,ifrs_RevenueFromDividends,   배당수익(매출액),,33081247000,,,19893685000,16565158000,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,entity00148540_udf_IS_2015810134350728_Revenue,   임대료수익,,7852093000,,,8005831000,8582279000,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,entity00148540_udf_IS_201152222820640_IncomeStatementAbstract,영업비용,,-65607073000,,,50750456000,42431378000,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),,58807626000,,,52873578000,56066189000,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,entity00148540_udf_IS_20133261421500_IncomeStatementAbstract,기타순손익,,13040433000,,,-96342000,-829288000,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,ifrs_FinanceIncome,금융수익,,2659629000,,,3658502000,4624687000,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,dart_InterestIncomeFinanceIncome,   이자수익,,2293325000,,,3381556000,4620400000,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2016-12-31,사업보고서,KRW,entity00148540_udf_IS_20111122162758343_FinanceIncome,   외환차익,,2231000,,,72463000,4287000,
