재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 3분기 3개월,당기 3분기 누적,전기 3분기 3개월,전기 3분기 누적,전기,전전기
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_Revenue,수익(매출액),7.06505E+12,1.99197E+13,6.10727E+12,1.76736E+13,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_CostOfSales,매출원가,4.86198E+12,1.37615E+13,4.14289E+12,1.20708E+13,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_GrossProfit,매출총이익,2.20308E+12,6.15824E+12,1.96438E+12,5.60285E+12,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,1.77121E+12,5.09702E+12,1.58319E+12,4.54056E+12,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,dart_OperatingIncomeLoss,영업이익,4.31865E+11,1.06122E+12,3.81188E+11,1.06229E+12,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceIncome,금융수익,4.29176E+11,6.00849E+11,1.19382E+11,2.73954E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceCosts,금융비용,1.44674E+11,4.41456E+11,1.86064E+11,4.66407E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,entity00148540_udf_IS_201711813565385_IncomeStatementAbstract,공동기업 및 관계기업투자주식에 대한 지분법손익,17719163000,70930979000,-2743214000,64534885000,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,dart_OtherGains,기타이익,17284662000,5.97861E+11,65635914000,1.46248E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,dart_OtherLosses,기타손실,1.31576E+11,3.49361E+11,97122548000,2.4638E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익,6.19794E+11,1.54005E+12,2.80275E+11,8.34238E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,1.7107E+11,4.16321E+11,57401449000,2.08401E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLoss,분기순이익,4.48724E+11,1.12372E+12,2.22874E+11,6.25836E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossAttributableToAbstract,분기순이익의 귀속,,,,,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossAttributableToOwnersOfParent,   지배기업의 소유주,2.15172E+11,4.72908E+11,1.00029E+11,2.42707E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossAttributableToNoncontrollingInterests,   비지배지분,2.33551E+11,6.50817E+11,1.22845E+11,3.83129E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_EarningsPerShareAbstract,주당순이익,,,,,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_BasicEarningsLossPerShare,   보통주 주당순이익,7555,16610,3512,8531,,
"손익계산서, 기능별 분류 - 연결재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_DilutedEarningsLossPerShare,   보통주 희석주당순이익,7541,16561,3503,8506,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_Revenue,매출액,1.87321E+12,5.17596E+12,1.49031E+12,4.44908E+12,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_CostOfSales,매출원가,1.67349E+12,4.61741E+12,1.31848E+12,3.94804E+12,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_GrossProfit,매출총이익,1.99716E+11,5.58556E+11,1.71831E+11,5.01036E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,1.3709E+11,3.82937E+11,1.11516E+11,3.27831E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,dart_OperatingIncomeLoss,영업이익,62626307911,1.75619E+11,60314976630,1.73206E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceIncome,금융수익,4230471921,17315278981,2015763040,17022374081,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceCosts,금융원가,24986255239,63406597427,23631288302,67517390644,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,dart_OtherGains,기타수익,1082127301,7742782634,1064146112,8390194281,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,dart_OtherLosses,기타비용,20212941573,63898859944,23640333182,64931127941,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,entity00113410_udf_IS_2017112133014742_IncomeStatementAbstract,관계기업투자손익,-2336090626,-2116071474,-12287126116,3309977717,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),20403619695,71255987385,3836138182,69479638833,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,9597982188,31492300242,3282465090,14158295818,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossFromContinuingOperations,계속영업이익,10805637507,39763687143,553673092,55321343015,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossFromDiscontinuedOperations,중단영업이익,0,0,0,0,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLoss,당기순이익(손실),10805637507,39763687143,553673092,55321343015,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossAttributableToAbstract,당기순이익(손실)의 귀속 [abstract],,,,,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossAttributableToOwnersOfParent,   지배기업의 소유주에게 귀속되는 당기순이익(손실),9273203779,35331159454,-2666192620,46256286505,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossAttributableToNoncontrollingInterests,   비지배지분에 귀속되는 당기순이익(손실),1532433728,4432527689,3219865712,9065056510,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_EarningsPerShareAbstract,주당이익(손실),,,,,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_BasicEarningsLossPerShare,   기본 및 희석주당이익(손실),527,2005,-151,2625,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_BasicEarningsLossPerShareFromContinuingOperations,      계속영업기본주당이익(손실),527,2005,-151,2625,,
"손익계산서, 기능별 분류 - 연결재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,      중단영업기본주당이익(손실),0,0,0,0,,
"손익계산서, 기능별 분류 - 연결재무제표",[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_Revenue,수익(매출액),57737260500,1.69294E+11,49803207810,1.5028E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_CostOfSales,매출원가,49350337044,1.42385E+11,41607915225,1.25292E+11,,
"손익계산서, 기능별 분류 - 연결재무제표",[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_GrossProfit,매출총이익,8386923456,26908577043,8195292585,24987831088,,
"손익계산서, 기능별 분류 - 연결재무제표",[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2017-09-30,3분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,5385357451,15489808758,5122225394,15005520839,,
